symbol	blocked	funding_pct	price	next_funding_time_utc	status
BTC-USDT	0	-0.024600	74078.600000	2026-04-15 00:00:00 UTC	ok
ETH-USDT	0	-0.011300	2314.180000	2026-04-15 00:00:00 UTC	ok
LINK-USDT	0	-0.002000	8.996000	2026-04-15 00:00:00 UTC	ok
BCH-USDT	0	-0.014100	434.590000	2026-04-15 00:00:00 UTC	ok
ADA-USDT	0	-0.007800	0.240400	2026-04-15 00:00:00 UTC	ok
XRP-USDT	0	0.004000	1.355700	2026-04-15 00:00:00 UTC	ok
LTC-USDT	0	0.010000	54.290000	2026-04-15 00:00:00 UTC	ok
DOT-USDT	0	-0.108000	1.155000	2026-04-15 00:00:00 UTC	ok
AVAX-USDT	0	0.004000	9.329000	2026-04-15 00:00:00 UTC	ok
THETA-USDT	0	-0.004800	0.174700	2026-04-15 00:00:00 UTC	ok
ALGO-USDT	0	0.010000	0.106800	2026-04-15 00:00:00 UTC	ok
AXS-USDT	0	-0.006100	1.092000	2026-04-15 00:00:00 UTC	ok
DYDX-USDT	0	0.010000	0.094450	2026-04-15 00:00:00 UTC	ok
SHIB-USDT	0	-0.016100	0.000006	2026-04-15 00:00:00 UTC	ok
ICP-USDT	0	0.006300	2.414000	2026-04-15 00:00:00 UTC	ok
SAND-USDT	0	0.000000	0.076000	2026-04-15 00:00:00 UTC	ok
KSM-USDT	0	0.010000	4.123000	2026-04-15 00:00:00 UTC	ok
VET-USDT	0	0.010000	0.006854	2026-04-15 00:00:00 UTC	ok
SUSHI-USDT	0	0.010000	0.192100	2026-04-15 00:00:00 UTC	ok
SOL-USDT	0	0.002900	83.583000	2026-04-15 00:00:00 UTC	ok
NEAR-USDT	0	0.010000	1.362600	2026-04-15 00:00:00 UTC	ok
ATOM-USDT	0	0.010000	1.739000	2026-04-15 00:00:00 UTC	ok
BSV-USDT	0	-0.000600	15.340000	2026-04-15 00:00:00 UTC	ok
UNI-USDT	0	-0.014400	3.112000	2026-04-15 00:00:00 UTC	ok
FIL-USDT	0	0.010000	0.884000	2026-04-15 00:00:00 UTC	ok
AAVE-USDT	0	0.003400	97.950000	2026-04-15 00:00:00 UTC	ok
DOGE-USDT	0	0.010000	0.092640	2026-04-15 00:00:00 UTC	ok
ENJ-USDT	0	-0.222900	0.056480	2026-04-14 22:00:00 UTC	ok
MANA-USDT	0	0.010000	0.085700	2026-04-15 00:00:00 UTC	ok
CHZ-USDT	0	0.002400	0.036670	2026-04-15 00:00:00 UTC	ok
TRX-USDT	0	0.005000	0.323320	2026-04-15 00:00:00 UTC	ok
SKL-USDT	0	0.005000	0.006210	2026-04-15 00:00:00 UTC	ok
ZRX-USDT	0	0.005000	0.105600	2026-04-15 00:00:00 UTC	ok
SNX-USDT	0	0.010000	0.283000	2026-04-15 00:00:00 UTC	ok
CRV-USDT	0	0.010000	0.212500	2026-04-15 00:00:00 UTC	ok
YFI-USDT	0	-0.005200	2538.000000	2026-04-15 00:00:00 UTC	ok
1INCH-USDT	0	0.010000	0.093000	2026-04-15 00:00:00 UTC	ok
COMP-USDT	0	-0.025800	21.180000	2026-04-15 00:00:00 UTC	ok
GRT-USDT	0	0.010000	0.023830	2026-04-15 00:00:00 UTC	ok
MASK-USDT	0	0.005000	0.427800	2026-04-15 00:00:00 UTC	ok
AR-USDT	0	0.010000	1.733000	2026-04-15 00:00:00 UTC	ok
ENS-USDT	0	0.010000	5.729000	2026-04-15 00:00:00 UTC	ok
BAT-USDT	0	0.010000	0.094900	2026-04-15 00:00:00 UTC	ok
STORJ-USDT	0	0.003500	0.097100	2026-04-15 00:00:00 UTC	ok
IMX-USDT	0	-0.001000	0.144600	2026-04-15 00:00:00 UTC	ok
XLM-USDT	0	0.001500	0.154470	2026-04-15 00:00:00 UTC	ok
ZEC-USDT	0	0.010000	348.590000	2026-04-15 00:00:00 UTC	ok
DASH-USDT	0	0.010000	38.230000	2026-04-15 00:00:00 UTC	ok
XMR-USDT	0	0.010000	346.950000	2026-04-15 00:00:00 UTC	ok
WAVES-USDT	0	0.010000	0.407800	2026-04-15 00:00:00 UTC	ok
ONT-USDT	0	-0.003100	0.077100	2026-04-15 00:00:00 UTC	ok
ONE-USDT	0	0.010000	0.002080	2026-04-15 00:00:00 UTC	ok
EGLD-USDT	0	0.010000	3.740000	2026-04-15 00:00:00 UTC	ok
HBAR-USDT	0	-0.010900	0.084750	2026-04-15 00:00:00 UTC	ok
CELO-USDT	0	0.010000	0.079000	2026-04-15 00:00:00 UTC	ok
KAVA-USDT	0	0.005000	0.052100	2026-04-15 00:00:00 UTC	ok
BNB-USDT	0	-0.012400	613.810000	2026-04-15 00:00:00 UTC	ok
GALA-USDT	0	0.000500	0.002930	2026-04-15 00:00:00 UTC	ok
YGG-USDT	0	0.005000	0.037220	2026-04-15 00:00:00 UTC	ok
ALICE-USDT	0	0.005000	0.112800	2026-04-15 00:00:00 UTC	ok
CHR-USDT	0	0.010000	0.017780	2026-04-15 00:00:00 UTC	ok
APE-USDT	0	-0.002800	0.087000	2026-04-15 00:00:00 UTC	ok
RSR-USDT	0	0.010000	0.001483	2026-04-15 00:00:00 UTC	ok
KNC-USDT	0	0.010000	0.132600	2026-04-15 00:00:00 UTC	ok
FLOW-USDT	0	0.005000	0.034300	2026-04-15 00:00:00 UTC	ok
GMT-USDT	0	0.005000	0.010440	2026-04-15 00:00:00 UTC	ok
RUNE-USDT	0	-0.000800	0.400400	2026-04-15 00:00:00 UTC	ok
RVN-USDT	0	0.005000	0.005600	2026-04-15 00:00:00 UTC	ok
NEO-USDT	0	-0.009100	2.805000	2026-04-15 00:00:00 UTC	ok
IOST-USDT	0	-0.002900	0.001067	2026-04-15 00:00:00 UTC	ok
ETC-USDT	0	-0.003800	8.292000	2026-04-15 00:00:00 UTC	ok
ROSE-USDT	0	0.010000	0.010320	2026-04-15 00:00:00 UTC	ok
MINA-USDT	0	0.010000	0.056500	2026-04-15 00:00:00 UTC	ok
CFX-USDT	0	0.007800	0.052840	2026-04-15 00:00:00 UTC	ok
API3-USDT	0	0.005000	0.280000	2026-04-15 00:00:00 UTC	ok
AGLD-USDT	0	0.010000	0.246100	2026-04-15 00:00:00 UTC	ok
SLP-USDT	0	0.005000	0.000607	2026-04-15 00:00:00 UTC	ok
JASMY-USDT	0	0.010000	0.005261	2026-04-15 00:00:00 UTC	ok
CTK-USDT	0	0.005000	0.172800	2026-04-15 00:00:00 UTC	ok
MTL-USDT	0	0.010000	0.285100	2026-04-15 00:00:00 UTC	ok
PEOPLE-USDT	0	0.005800	0.007050	2026-04-15 00:00:00 UTC	ok
ANKR-USDT	0	-0.009300	0.005032	2026-04-15 00:00:00 UTC	ok
WOO-USDT	0	0.010000	0.017210	2026-04-15 00:00:00 UTC	ok
CRO-USDT	0	0.010000	0.068790	2026-04-15 00:00:00 UTC	ok
LUNA-USDT	0	0.005000	0.054340	2026-04-15 00:00:00 UTC	ok
OP-USDT	0	-0.001200	0.110300	2026-04-15 00:00:00 UTC	ok
LDO-USDT	0	0.010000	0.347200	2026-04-15 00:00:00 UTC	ok
STG-USDT	0	0.010000	0.224100	2026-04-15 00:00:00 UTC	ok
INJ-USDT	0	0.001000	2.963000	2026-04-15 00:00:00 UTC	ok
APT-USDT	0	0.010000	0.853300	2026-04-15 00:00:00 UTC	ok
QNT-USDT	0	0.010000	73.610000	2026-04-15 00:00:00 UTC	ok
ARPA-USDT	0	0.010000	0.009260	2026-04-15 00:00:00 UTC	ok
SFP-USDT	0	0.007000	0.295700	2026-04-15 00:00:00 UTC	ok
TONCOIN-USDT	0	0.005000	1.376000	2026-04-15 00:00:00 UTC	ok
MAGIC-USDT	0	0.005000	0.060500	2026-04-15 00:00:00 UTC	ok
FET-USDT	0	-0.092600	0.226600	2026-04-15 00:00:00 UTC	ok
GMX-USDT	0	0.010000	6.029000	2026-04-15 00:00:00 UTC	ok
HIGH-USDT	0	0.010000	0.113000	2026-04-15 00:00:00 UTC	ok
COTI-USDT	0	0.010000	0.013220	2026-04-15 00:00:00 UTC	ok
METIS-USDT	0	0.005000	3.033000	2026-04-15 00:00:00 UTC	ok
ASTR-USDT	0	0.010000	0.007442	2026-04-15 00:00:00 UTC	ok
DUSK-USDT	0	0.005000	0.146610	2026-04-15 00:00:00 UTC	ok
BLUR-USDT	0	-0.018100	0.020310	2026-04-15 00:00:00 UTC	ok
PHB-USDT	0	0.061100	0.091300	2026-04-15 00:00:00 UTC	ok
STX-USDT	0	0.010000	0.217700	2026-04-15 00:00:00 UTC	ok
ACH-USDT	0	0.010000	0.005954	2026-04-15 00:00:00 UTC	ok
TRB-USDT	0	0.005000	15.226000	2026-04-15 00:00:00 UTC	ok
FLOKI-USDT	0	-0.002300	0.000028	2026-04-15 00:00:00 UTC	ok
ILV-USDT	0	-0.006300	4.153000	2026-04-15 00:00:00 UTC	ok
ZEN-USDT	0	0.005900	5.624000	2026-04-15 00:00:00 UTC	ok
SCRT-USDT	0	0.005000	0.084800	2026-04-15 00:00:00 UTC	ok
RLC-USDT	0	0.010000	0.406100	2026-04-15 00:00:00 UTC	ok
LPT-USDT	0	0.003500	2.063000	2026-04-15 00:00:00 UTC	ok
CKB-USDT	0	0.010000	0.001466	2026-04-15 00:00:00 UTC	ok
QTUM-USDT	0	0.010000	0.893000	2026-04-15 00:00:00 UTC	ok
SUN-USDT	0	0.005000	0.018023	2026-04-15 00:00:00 UTC	ok
IOTA-USDT	0	0.010000	0.054700	2026-04-15 00:00:00 UTC	ok
SSV-USDT	0	0.010000	2.168000	2026-04-15 00:00:00 UTC	ok
TLM-USDT	0	0.003500	0.001626	2026-04-15 00:00:00 UTC	ok
TWT-USDT	0	0.004500	0.400700	2026-04-15 00:00:00 UTC	ok
TRU-USDT	0	-0.137300	0.006850	2026-04-15 00:00:00 UTC	ok
LQTY-USDT	0	0.010000	0.275500	2026-04-15 00:00:00 UTC	ok
ID-USDT	0	-0.018400	0.030900	2026-04-15 00:00:00 UTC	ok
ARB-USDT	0	0.010000	0.109400	2026-04-15 00:00:00 UTC	ok
EDU-USDT	0	0.010000	0.047200	2026-04-15 00:00:00 UTC	ok
SUI-USDT	0	0.004400	0.928500	2026-04-15 00:00:00 UTC	ok
TURBO-USDT	0	-0.003400	0.001018	2026-04-15 00:00:00 UTC	ok
ORDI-USDT	0	0.005000	2.425000	2026-04-15 00:00:00 UTC	ok
UMA-USDT	0	0.005000	0.412500	2026-04-15 00:00:00 UTC	ok
OKB-USDT	0	-0.001100	85.200000	2026-04-15 00:00:00 UTC	ok
NMR-USDT	0	0.005000	8.460000	2026-04-15 00:00:00 UTC	ok
MAV-USDT	0	0.010000	0.014040	2026-04-15 00:00:00 UTC	ok
WLD-USDT	0	0.005400	0.295800	2026-04-15 00:00:00 UTC	ok
PENDLE-USDT	0	0.010000	1.038000	2026-04-15 00:00:00 UTC	ok
ARKM-USDT	0	0.010000	0.098900	2026-04-15 00:00:00 UTC	ok
CYBER-USDT	0	0.005000	0.498800	2026-04-15 00:00:00 UTC	ok
SEI-USDT	0	-0.007400	0.054300	2026-04-15 00:00:00 UTC	ok
1000PEPE-USDT	0	-0.002600	0.003585	2026-04-15 00:00:00 UTC	ok
ARK-USDT	0	-0.032400	0.167900	2026-04-15 00:00:00 UTC	ok
KAS-USDT	0	0.005000	0.032390	2026-04-15 00:00:00 UTC	ok
BIGTIME-USDT	0	0.005000	0.012400	2026-04-15 00:00:00 UTC	ok
POLYX-USDT	0	-0.019600	0.052110	2026-04-15 00:00:00 UTC	ok
GAS-USDT	0	-0.003000	1.663000	2026-04-15 00:00:00 UTC	ok
TIA-USDT	0	0.005000	0.304500	2026-04-15 00:00:00 UTC	ok
CAKE-USDT	0	0.005000	1.561500	2026-04-15 00:00:00 UTC	ok
MEME-USDT	0	0.005000	0.000508	2026-04-15 00:00:00 UTC	ok
10000SATS-USDT	0	0.005000	0.000112	2026-04-15 00:00:00 UTC	ok
BEAM-USDT	0	0.005000	0.001849	2026-04-15 00:00:00 UTC	ok
RATS-USDT	0	0.005000	0.000036	2026-04-15 00:00:00 UTC	ok
PYTH-USDT	0	-0.018100	0.042390	2026-04-15 00:00:00 UTC	ok
1000BONK-USDT	0	0.005000	0.005813	2026-04-15 00:00:00 UTC	ok
SUPER-USDT	0	-0.014600	0.115000	2026-04-15 00:00:00 UTC	ok
ONG-USDT	0	-0.003900	0.082650	2026-04-15 00:00:00 UTC	ok
AXL-USDT	0	0.005000	0.044700	2026-04-15 00:00:00 UTC	ok
JTO-USDT	0	-0.025800	0.306800	2026-04-15 00:00:00 UTC	ok
AUCTION-USDT	0	0.005000	4.733000	2026-04-15 00:00:00 UTC	ok
ACE-USDT	0	0.005000	0.115500	2026-04-15 00:00:00 UTC	ok
MOVR-USDT	0	0.005000	1.174000	2026-04-15 00:00:00 UTC	ok
NFP-USDT	0	0.005000	0.013300	2026-04-15 00:00:00 UTC	ok
CETUS-USDT	0	0.005000	0.019440	2026-04-15 00:00:00 UTC	ok
XAI-USDT	0	0.005000	0.009360	2026-04-15 00:00:00 UTC	ok
WIF-USDT	0	0.005000	0.191200	2026-04-15 00:00:00 UTC	ok
MANTA-USDT	0	-0.018100	0.064860	2026-04-15 00:00:00 UTC	ok
ONDO-USDT	0	0.005000	0.249700	2026-04-15 00:00:00 UTC	ok
LSK-USDT	0	-0.016200	0.124200	2026-04-15 00:00:00 UTC	ok
ALT-USDT	0	0.000100	0.006720	2026-04-15 00:00:00 UTC	ok
TAO-USDT	0	0.005000	240.010000	2026-04-15 00:00:00 UTC	ok
JUP-USDT	0	0.005000	0.164700	2026-04-15 00:00:00 UTC	ok
ZETA-USDT	0	0.005000	0.049490	2026-04-15 00:00:00 UTC	ok
DYM-USDT	0	0.005000	0.016870	2026-04-15 00:00:00 UTC	ok
PIXEL-USDT	0	0.005000	0.008483	2026-04-15 00:00:00 UTC	ok
MAVIA-USDT	0	0.009200	0.031590	2026-04-15 00:00:00 UTC	ok
STRK-USDT	0	0.002100	0.032100	2026-04-15 00:00:00 UTC	ok
GLM-USDT	0	0.005000	0.124390	2026-04-15 00:00:00 UTC	ok
PORTAL-USDT	0	0.005000	0.008380	2026-04-15 00:00:00 UTC	ok
AEVO-USDT	0	0.005000	0.022610	2026-04-15 00:00:00 UTC	ok
VANRY-USDT	0	0.005000	0.004919	2026-04-15 00:00:00 UTC	ok
BOME-USDT	0	0.005000	0.000407	2026-04-15 00:00:00 UTC	ok
ETHFI-USDT	0	0.005000	0.419200	2026-04-15 00:00:00 UTC	ok
DEGEN-USDT	0	0.005000	0.000715	2026-04-15 00:00:00 UTC	ok
ENA-USDT	0	0.005000	0.095100	2026-04-15 00:00:00 UTC	ok
W-USDT	0	0.005000	0.011730	2026-04-15 00:00:00 UTC	ok
TNSR-USDT	0	0.002900	0.038700	2026-04-15 00:00:00 UTC	ok
SAGA-USDT	0	0.005000	0.026980	2026-04-15 00:00:00 UTC	ok
MERL-USDT	0	0.005000	0.027950	2026-04-15 00:00:00 UTC	ok
MEW-USDT	0	-0.001600	0.000558	2026-04-15 00:00:00 UTC	ok
REZ-USDT	0	-0.020000	0.003588	2026-04-15 00:00:00 UTC	ok
BB-USDT	0	0.003700	0.024600	2026-04-15 00:00:00 UTC	ok
NOT-USDT	0	0.005000	0.000360	2026-04-15 00:00:00 UTC	ok
IO-USDT	0	0.005000	0.100400	2026-04-15 00:00:00 UTC	ok
1000000BABYDOGE-USDT	0	0.005000	0.000393	2026-04-15 00:00:00 UTC	ok
BRETT-USDT	0	0.005000	0.007000	2026-04-15 00:00:00 UTC	ok
ATH-USDT	0	-0.002800	0.006050	2026-04-15 00:00:00 UTC	ok
BTC-USDC	0	-0.027200	74132.900000	2026-04-15 00:00:00 UTC	ok
ZK-USDT	0	0.005000	0.015200	2026-04-15 00:00:00 UTC	ok
LISTA-USDT	0	0.005000	0.081100	2026-04-15 00:00:00 UTC	ok
ZRO-USDT	0	0.005000	1.905400	2026-04-15 00:00:00 UTC	ok
ETH-USDC	0	-0.012300	2316.150000	2026-04-15 00:00:00 UTC	ok
SOL-USDC	0	0.003200	83.615000	2026-04-15 00:00:00 UTC	ok
DOGE-USDC	0	0.011000	0.092710	2026-04-15 00:00:00 UTC	ok
XRP-USDC	0	0.004400	1.356800	2026-04-15 00:00:00 UTC	ok
BNB-USDC	0	-0.013500	614.260000	2026-04-15 00:00:00 UTC	ok
ORDI-USDC	0	0.005500	2.423000	2026-04-15 00:00:00 UTC	ok
1000PEPE-USDC	0	-0.002900	0.003585	2026-04-15 00:00:00 UTC	ok
WIF-USDC	0	0.005500	0.191500	2026-04-15 00:00:00 UTC	ok
BANANA-USDT	0	0.005000	3.483000	2026-04-15 00:00:00 UTC	ok
RENDER-USDT	0	0.005000	1.825000	2026-04-15 00:00:00 UTC	ok
RARE-USDT	0	0.003500	0.014840	2026-04-15 00:00:00 UTC	ok
G-USDT	0	-0.131100	0.003783	2026-04-15 00:00:00 UTC	ok
SYN-USDT	0	0.005000	0.046250	2026-04-15 00:00:00 UTC	ok
CATI-USDT	0	0.005000	0.047890	2026-04-15 00:00:00 UTC	ok
POPCAT-USDT	0	0.005000	0.049910	2026-04-15 00:00:00 UTC	ok
ORDER-USDT	0	0.005000	0.060000	2026-04-15 00:00:00 UTC	ok
FLUX-USDT	0	0.005000	0.054500	2026-04-15 00:00:00 UTC	ok
POL-USDT	0	0.005000	0.082750	2026-04-15 00:00:00 UTC	ok
AERGO-USDT	0	-0.009900	0.054050	2026-04-15 00:00:00 UTC	ok
NEIROCTO-USDT	0	-0.001800	0.000064	2026-04-15 00:00:00 UTC	ok
RPL-USDT	0	-0.020500	1.785000	2026-04-15 00:00:00 UTC	ok
FIDA-USDT	0	0.005000	0.016530	2026-04-15 00:00:00 UTC	ok
HMSTR-USDT	0	0.005000	0.000146	2026-04-15 00:00:00 UTC	ok
EIGEN-USDT	0	0.005000	0.158300	2026-04-15 00:00:00 UTC	ok
DIA-USDT	0	0.005000	0.174200	2026-04-15 00:00:00 UTC	ok
