symbol	current_funding_pct	funding_past_pct	funding_delta_pct	abs_growth_pct	in_range	abs_growth_ok	reason
BTC-USDT	-0.024600				0	0	skip:out_of_funding_range
ETH-USDT	-0.011300				0	0	skip:out_of_funding_range
LINK-USDT	-0.002000				0	0	skip:out_of_funding_range
BCH-USDT	-0.014100				0	0	skip:out_of_funding_range
ADA-USDT	-0.007800				0	0	skip:out_of_funding_range
XRP-USDT	0.004000				0	0	skip:out_of_funding_range
LTC-USDT	0.010000				0	0	skip:out_of_funding_range
DOT-USDT	-0.108000				1	0	skip:no_lookback_sample
AVAX-USDT	0.004000				0	0	skip:out_of_funding_range
THETA-USDT	-0.004800				0	0	skip:out_of_funding_range
ALGO-USDT	0.010000				0	0	skip:out_of_funding_range
AXS-USDT	-0.006100				0	0	skip:out_of_funding_range
DYDX-USDT	0.010000				0	0	skip:out_of_funding_range
SHIB-USDT	-0.016100				0	0	skip:out_of_funding_range
ICP-USDT	0.006300				0	0	skip:out_of_funding_range
SAND-USDT	0.000000				0	0	skip:out_of_funding_range
KSM-USDT	0.010000				0	0	skip:out_of_funding_range
VET-USDT	0.010000				0	0	skip:out_of_funding_range
SUSHI-USDT	0.010000				0	0	skip:out_of_funding_range
SOL-USDT	0.002900				0	0	skip:out_of_funding_range
NEAR-USDT	0.010000				0	0	skip:out_of_funding_range
ATOM-USDT	0.010000				0	0	skip:out_of_funding_range
BSV-USDT	-0.000600				0	0	skip:out_of_funding_range
UNI-USDT	-0.014400				0	0	skip:out_of_funding_range
FIL-USDT	0.010000				0	0	skip:out_of_funding_range
AAVE-USDT	0.003400				0	0	skip:out_of_funding_range
DOGE-USDT	0.010000				0	0	skip:out_of_funding_range
ENJ-USDT	-0.222900				0	0	skip:out_of_funding_range
MANA-USDT	0.010000				0	0	skip:out_of_funding_range
CHZ-USDT	0.002400				0	0	skip:out_of_funding_range
TRX-USDT	0.005000				0	0	skip:out_of_funding_range
SKL-USDT	0.005000				0	0	skip:out_of_funding_range
ZRX-USDT	0.005000				0	0	skip:out_of_funding_range
SNX-USDT	0.010000				0	0	skip:out_of_funding_range
CRV-USDT	0.010000				0	0	skip:out_of_funding_range
YFI-USDT	-0.005200				0	0	skip:out_of_funding_range
1INCH-USDT	0.010000				0	0	skip:out_of_funding_range
COMP-USDT	-0.025800				0	0	skip:out_of_funding_range
GRT-USDT	0.010000				0	0	skip:out_of_funding_range
MASK-USDT	0.005000				0	0	skip:out_of_funding_range
AR-USDT	0.010000				0	0	skip:out_of_funding_range
ENS-USDT	0.010000				0	0	skip:out_of_funding_range
BAT-USDT	0.010000				0	0	skip:out_of_funding_range
STORJ-USDT	0.003500				0	0	skip:out_of_funding_range
IMX-USDT	-0.001000				0	0	skip:out_of_funding_range
XLM-USDT	0.001500				0	0	skip:out_of_funding_range
ZEC-USDT	0.010000				0	0	skip:out_of_funding_range
DASH-USDT	0.010000				0	0	skip:out_of_funding_range
XMR-USDT	0.010000				0	0	skip:out_of_funding_range
WAVES-USDT	0.010000				0	0	skip:out_of_funding_range
ONT-USDT	-0.003100				0	0	skip:out_of_funding_range
ONE-USDT	0.010000				0	0	skip:out_of_funding_range
EGLD-USDT	0.010000				0	0	skip:out_of_funding_range
HBAR-USDT	-0.010900				0	0	skip:out_of_funding_range
CELO-USDT	0.010000				0	0	skip:out_of_funding_range
KAVA-USDT	0.005000				0	0	skip:out_of_funding_range
BNB-USDT	-0.012400				0	0	skip:out_of_funding_range
GALA-USDT	0.000500				0	0	skip:out_of_funding_range
YGG-USDT	0.005000				0	0	skip:out_of_funding_range
ALICE-USDT	0.005000				0	0	skip:out_of_funding_range
CHR-USDT	0.010000				0	0	skip:out_of_funding_range
APE-USDT	-0.002800				0	0	skip:out_of_funding_range
RSR-USDT	0.010000				0	0	skip:out_of_funding_range
KNC-USDT	0.010000				0	0	skip:out_of_funding_range
FLOW-USDT	0.005000				0	0	skip:out_of_funding_range
GMT-USDT	0.005000				0	0	skip:out_of_funding_range
RUNE-USDT	-0.000800				0	0	skip:out_of_funding_range
RVN-USDT	0.005000				0	0	skip:out_of_funding_range
NEO-USDT	-0.009100				0	0	skip:out_of_funding_range
IOST-USDT	-0.002900				0	0	skip:out_of_funding_range
ETC-USDT	-0.003800				0	0	skip:out_of_funding_range
ROSE-USDT	0.010000				0	0	skip:out_of_funding_range
MINA-USDT	0.010000				0	0	skip:out_of_funding_range
CFX-USDT	0.007800				0	0	skip:out_of_funding_range
API3-USDT	0.005000				0	0	skip:out_of_funding_range
AGLD-USDT	0.010000				0	0	skip:out_of_funding_range
SLP-USDT	0.005000				0	0	skip:out_of_funding_range
JASMY-USDT	0.010000				0	0	skip:out_of_funding_range
CTK-USDT	0.005000				0	0	skip:out_of_funding_range
MTL-USDT	0.010000				0	0	skip:out_of_funding_range
PEOPLE-USDT	0.005800				0	0	skip:out_of_funding_range
ANKR-USDT	-0.009300				0	0	skip:out_of_funding_range
WOO-USDT	0.010000				0	0	skip:out_of_funding_range
CRO-USDT	0.010000				0	0	skip:out_of_funding_range
LUNA-USDT	0.005000				0	0	skip:out_of_funding_range
OP-USDT	-0.001200				0	0	skip:out_of_funding_range
LDO-USDT	0.010000				0	0	skip:out_of_funding_range
STG-USDT	0.010000				0	0	skip:out_of_funding_range
INJ-USDT	0.001000				0	0	skip:out_of_funding_range
APT-USDT	0.010000				0	0	skip:out_of_funding_range
QNT-USDT	0.010000				0	0	skip:out_of_funding_range
ARPA-USDT	0.010000				0	0	skip:out_of_funding_range
